resource,url,license,maintenance_evidence,what_it_provides,what_it_does_not_solve,risks,readiness_score,band,decision,integration_notes
shadcn/ui,https://github.com/shadcn-ui/ui,MIT,124.5k stars; pushed 2026-09-21; registry + CLI; Vercel-supported,"Copy-in React component source (Radix/Base UI primitives + Tailwind), themable via CSS vars",Not an npm dependency (you own forks); no Astro-native components; no design opinion beyond defaults,Default aesthetic is recognisable 'shadcn look' — needs deliberate art direction,8.7,APPROVED CANDIDATE,ADOPT (selective),Install only the ~8 components we actually need into src/components/ui; pin registry hashes.
Base UI (@base-ui/react),https://github.com/mui/base-ui,MIT,"11.0k stars; pushed 2026-09-23; v1.x stable, MUI full-time team; shadcn default since Jul 2026",35 unstyled accessible primitives; active monthly releases; render-prop API,Unstyled (expected); fewer ecosystem examples than Radix,Low. Inherits MIT; keep version pins because APIs are still evolving post-1.0,8.9,APPROVED CANDIDATE,ADOPT,Primitive layer for Dialog/Popover/Tabs/Select/Accordion in React islands.
Radix Primitives,https://github.com/radix-ui/primitives,MIT,19.3k stars; last push 2026-08-08 (slower cadence since WorkOS acquisition),Battle-tested primitives; largest ecosystem; what most shadcn code was written on,Slower releases; complex components (Combobox) stalled,Maintenance risk if new projects start here in 2026+,8.35,APPROVED CANDIDATE,REFERENCE / fallback,Only for existing client codebases that already use Radix.
Tailwind CSS,https://github.com/tailwindlabs/tailwindcss,MIT,97.6k stars; pushed 2026-09-08; v4.3.x on npm (2026-09),Utility CSS + CSS-first @theme tokens; small output; no runtime,Class-heavy markup; design tokens must be curated or output drifts generic,Low; watch v4 upgrade churn in integrations (@astrojs/tailwind is deprecated — use @tailwindcss/vite),9.0,APPROVED CANDIDATE,ADOPT,Only styling system. Tokens in @theme + CSS custom properties per design direction.
Astro,https://github.com/withastro/astro,MIT,62.8k stars; pushed 2026-09-23; v7.3.4 on npm; Node >=22.12,"Static-first, zero-JS default, islands, image component, content collections",Not a fit for app-like dashboards; smaller React-ecosystem gravity than Next,Low. Major-version migration every ~12 months is real work for long-lived client sites,9.3,APPROVED CANDIDATE,ADOPT (V1 default framework),"Landing pages, marketing sites, blog. React islands only where interactive."
Next.js,https://github.com/vercel/next.js,MIT,142.4k stars; pushed 2026-09-23; v16.3.x,"Full-stack React, SSR/ISR, routing, large ecosystem, best for app-like needs",Heavier baseline JS/CWV risk; commercial hosting via Vercel Pro ($20/seat) only,"Framework churn (App Router, caching semantics) is a maintenance cost",8.45,APPROVED CANDIDATE,PILOT / fallback,"Use only when the client needs auth, dashboards, ISR or CMS-in-Next (Payload)."
AstroWind template,https://github.com/arthelokyo/astrowind,MIT,~6k stars; Astro v7 + Tailwind v4 rewrite; active 2026,"Production-ready landing/marketing template: widgets, SEO metadata, blog, dark mode, image optimisation",Generic brand feel out of the box; needs full token replacement; some widgets we will delete,"Template familiarity (many sites share its look) — must be art-directed, not shipped as-is",8.45,APPROVED CANDIDATE,ADAPT,"V1 Master Site starts from it, then strip to ~10 sections and re-token everything."
Magic UI (shadcn registry),https://github.com/magicuidesign/magicui,MIT (LICENSE.md confirmed),22.4k stars; pushed 2026-09-20,"150+ animated marketing components (marquee, bento, spotlight) as copy-in source",Effects-first: many components are visual novelty with a11y/perf cost,Magnet for 'AI slop' look; several effects ignore prefers-reduced-motion,7.15,PILOT / POC REQUIRED,REFERENCE / selective ADAPT,"Max 1–2 components per project, only after the Motion Budget allows it."
shadcn.io Pro Blocks,https://www.shadcn.io/license,Proprietary; Individual licence forbids commercial/client use,Active commercial product (gated registry),Polished page blocks and marketing sections,Commercial use requires Team/Org licence; redistribution restricted,Buying an Individual seat and using it for client work would breach the licence,5.9,REFERENCE ONLY,AVOID (unless Team licence bought deliberately),"If ever adopted: Team licence, seats documented in licence-register."
Tailark / Aceternity / Shadcnblocks (freemium registries),https://tailark.com/,Freemium: free tier + paid all-access; terms vary per item,Active commercial products,Additional section patterns and effects for reference,Paid tiers restrict redistribution; free tiers often require attribution or are non-commercial,Mixed licences per block = audit burden with no strategic upside,5.5,REFERENCE ONLY,REFERENCE ONLY,Never ship a block whose licence we have not recorded in license-register.csv.
Headless UI,https://github.com/tailwindlabs/headlessui,MIT,28.7k stars; last push 2026-04-13 (slower),"Simple unstyled components, tight Tailwind fit",Smaller component set than Base UI; slower cadence,Maintenance signal weaker than Base UI in 2026,8.05,APPROVED CANDIDATE,REFERENCE,Not needed if Base UI is adopted.
Motion (ex-Framer Motion),https://github.com/motiondivision/motion,MIT,33.7k stars; pushed 2026-09-23; v13.x on npm,"Declarative React animation, AnimatePresence, layout/gesture APIs, reduced-motion support",React-only (fine inside Astro islands); Motion+ premium content is separate (MIT code once bought),Bundle cost if used for micro-interactions CSS could do,8.35,APPROVED CANDIDATE,ADOPT (islands only),Use for component-level motion in interactive islands; CSS for everything else.
GSAP 3.15 (Webflow),https://gsap.com/community/standard-license/,Standard 'no charge' licence (NOT open source); commercial use allowed,"28.6k stars; npm 3.15.0; licence effective 2025-04-30, amended 2025-05-30","Timeline control, ScrollTrigger, SplitText, MorphSVG — all free for commercial sites now",Not OSI open source; prohibited in visual animation builders competing with Webflow; licence can change going forward,"Licence risk is *interpretive*, not zero: no redistribution as a builder product; no source ownership",7.65,PILOT / POC REQUIRED,ADAPT (only if a project's motion brief exceeds Motion/CSS),Keep GSAP behind one wrapper module; document licence in NOTICE + handover.
CSS + Web Animations API (baseline),https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_animations,Web standard,Universal browser support; zero dependency,"Hover/focus/reveal transitions, view transitions, scroll-driven animations where supported",No timeline orchestration; fancier sequences get verbose,None; also the best reduced-motion story,9.5,APPROVED CANDIDATE,ADOPT (default),First two rungs of the Motion Escalation Ladder are CSS-only.
Lottie / lottie-web,https://github.com/airbnb/lottie-web,MIT,32.1k stars; last push 2025-09-01 (stale ~12 months),"Plays After Effects JSON animation, designer-friendly pipeline",JSON payloads bloat fast; runtime work on main thread; project effectively dormant,Unmaintained + performance cost = poor fit for premium landing pages in 2026,6.35,REFERENCE ONLY,AVOID (new projects),Legacy client files only.
Rive (runtime MIT + editor),https://github.com/rive-app/rive-react,Runtime MIT; editor commercial (Free/Cadet $9/Voyager $32 per seat),1.2k stars (react binding); pushed 2026-09-16; runtimes maintained across platforms,Interactive state-machine animation at very small file size; designer-editable,Editor subscription for unlimited files; smaller ecosystem; needs a real motion brief to justify,Editor is a paid SaaS with ToS — asset rights must be recorded; runtime itself is MIT,7.5,PILOT / POC REQUIRED,PILOT,Only for one hero/interaction per project where interactivity earns its cost.
Three.js / React Three Fiber,https://github.com/pmndrs/react-three-fiber,MIT,three 115.8k / R3F 32.4k stars; pushed 2026-09 (both active),"3D, shaders, WebGL product visualisation","Heavy GPU/JS cost, mobile battery drain, WebGL fallback burden","Highest CWV/reliability risk of any option here; usually decoration, not conversion",7.15,PILOT / POC REQUIRED,REFERENCE (only with a written business justification),Requires explicit client sign-off + fallback poster image.
Lucide icons,https://github.com/lucide-icons/lucide,ISC (LICENSE confirmed; some icons derived from Feather/MIT),24.7k stars; pushed 2026-09-22; active releases,Consistent 1500+ icon set as inline SVG / tree-shakeable packages,Single visual voice (geometric line) — limited for editorial/luxury directions,Low; keep the Feather-derived notice file in the repo,8.85,APPROVED CANDIDATE,ADOPT,"Default icon set; ship as inline SVG, never as an icon font or CDN link."
Google Fonts (self-hosted via Fontsource),https://fontsource.org/,Fonts are SIL OFL / Apache-2.0; Fontsource packages MIT,Fontsource actively maintained; OFL fonts are a permanent grant,"Woff2 files + CSS we control, subset, self-hosted, GDPR-clean",OFL requires keeping the licence file and (for some fonts) a reserved-name rule; no CDN,"Never load from fonts.googleapis.com/fonts.gstatic.com: LG München I (3 O 17493/20, 2022-01-20) ruled that unlawful; German mass-claim campaigns followed",8.9,APPROVED CANDIDATE,ADOPT (self-hosted only),Font files in /public/fonts + LICENSE per family + preload for the display font.
Unsplash (free tier) + Unsplash+,https://unsplash.com/license,"Unsplash Licence (free, commercial OK, no attribution required); Unsplash+ has extra restrictions",Active platform; licence text updated over time,Free high-quality photography for concept work and blogs,"No model-release verification and $0 indemnification; Unsplash+ forbids AI/ML use, digital-template use and shared asset storage",Unsafe for client claims about people/products; + images cannot legally be fed to generative AI or shipped inside a template,6.85,PILOT / POC REQUIRED,REFERENCE / ADAPT with strict rules,"Only non-person, non-product imagery for concepts; every use logged in asset-provenance-log.csv with URL + date."
Cloudflare Pages / Workers / D1,https://developers.cloudflare.com/pages/platform/limits/,Proprietary service (free + $5/mo Workers Paid); commercial use permitted on free plan,Unlimited static bandwidth on free tier; 500 builds/mo free; Workers Paid 10M req/mo for $5,"Static hosting + functions + KV/D1/R2 + previews, one account, cheap at studio scale",D1/KV data residency is not a French/EU-pinned guarantee by default; support is community-tier on free,Provider lock-in for functions (portable: static + Workers are standard-ish); DPA available,8.6,APPROVED CANDIDATE,ADOPT (V1 default host),Client-owned Cloudflare account from day one; we get delegated access.
Netlify,https://www.netlify.com/pricing/,Proprietary (free tier 300 credits/mo; Pro ~$20 flat since Apr 2026),Mature JAMstack platform; flat Pro pricing with unlimited seats,Static + functions + forms + deploy previews,Free-tier credit exhaustion hard-stops sites; US-run,Proprietary form handling ties client data to the platform,8.2,APPROVED CANDIDATE,REFERENCE / fallback host,Only if a client already lives there.
Vercel,https://vercel.com/docs/limits/fair-use-guidelines,"Proprietary; Hobby is non-commercial only, Pro $20/seat",Best-in-class Next.js DX,"Zero-config Next deploys, previews, ISR, image optimisation",Hobby explicitly prohibits commercial use — a paid client build on Hobby breaches the fair-use policy,Cost per seat + metered overage; strongest Next lock-in,7.65,PILOT / POC REQUIRED,"AVOID for client work (use only Pro, client-billed)",If a Next.js client insists: Pro seat billed to the client.
Hetzner / Scaleway / OVH VPS + Coolify,https://www.hetzner.com/cloud/,Proprietary hosting; Coolify is Apache-2.0,€4–8/mo VPS class; EU jurisdictions (DE/FR),"Full data residency, self-hosted Umami/Cal.com/Formbricks, Docker deploys","You are the sysadmin: patching, backups, TLS, monitoring — unbilled hours",Operational risk lands on the founder; a dead server is a dead client site,7.35,PILOT / POC REQUIRED,PILOT (self-hosted path only),Only for clients who buy a maintenance retainer.
"GitHub (repos, Actions, Pages)",https://github.com/pricing,Proprietary service (free tiers generous),Industry default VCS; Actions minutes included,"Source of truth, PR previews (via host), CI for QA gates, client handover via ownership transfer",Free private repos have limited Actions minutes; Pages is static-only and not ideal for client hosting,Account/org ownership must be transferred or the client is locked out of their own site,8.8,APPROVED CANDIDATE,ADOPT,Every client project = its own repo; handover = GitHub org/repo transfer + write-up.
Keystatic (git-based CMS),https://github.com/Thinkmill/keystatic,MIT,2.4k stars; pushed 2026-09-08; local + GitHub modes,"Admin UI that commits MDX/JSON into the client's own repo — no database, no vendor","No scheduling, no roles beyond GitHub, weak mobile editing, small ecosystem; version still 0.x",0.x versioning means breaking changes; commit-based editing can confuse non-technical clients,8.25,APPROVED CANDIDATE,PILOT,Default CMS answer for clients who need editing; always with a 1-hour editor training.
Payload CMS v3,https://github.com/payloadcms/payload,MIT,44.9k stars; pushed 2026-09-23; very active,"Code-first CMS inside Next.js: auth, access control, drafts, media, REST/GraphQL",Requires a database + Next.js runtime → hosting cost and ops burden,Overkill for a 6-section landing page; adds DB backups to the client contract,8.1,APPROVED CANDIDATE,"PILOT (only for >€2,500 builds with real content ops)",Pair with Cloudflare/Postgres EU or client-owned DB.
Decap CMS,https://github.com/decaporg/decap-cms,MIT,"19.4k stars; pushed 2026-09-22 (steady, low velocity)","Git-based editing UI, mature, works with static hosts","YAML config sprawl, dated UX, limited workflows (documented third-party critique)",Slower development pace since the rebrand; UX may frustrate clients,7.85,PILOT / POC REQUIRED,REFERENCE,Keystatic preferred for new builds.
Tally (forms),https://tally.so/,"Proprietary SaaS; Belgian company, EU servers; DPA built into ToS",Actively developed; free tier unlimited forms/submissions; Pro ~€20–29/mo,"Fastest path to a branded, conditional, file-upload intake or teardown-request form",DPA is strongest on paid plans; embedded widgets can inject their own cookies/analytics,Embed = third-party script on a privacy-sensitive page; free tier footer branding,7.4,PILOT / POC REQUIRED,ADAPT (V1 fast path for intake/teardown forms),Custom domain on Pro; consent copy in our own privacy notice; no embed on the main site hero.
Formbricks,https://github.com/formbricks/formbricks,AGPL-3.0 core + /ee licence (LICENSE confirmed),"13.0k stars; pushed 2026-09-23; German vendor, EU cloud or self-host","In-app/link surveys with self-hosting, data sovereignty","AGPL obligations if we modify and serve it; survey-shaped, not long intake forms",AGPL must be understood before shipping modifications for clients,7.05,PILOT / POC REQUIRED,PILOT (self-hosted path),"Use unmodified, or keep modifications private in studio-only infra."
Cal.com (booking),https://github.com/calcom/cal.com,MIT (cloud plans paid; self-host free),48.6k stars; pushed 2026-09-20; free cloud tier for 1 user,"Booking/qualification flow, calendar sync, EU self-host option, white-label on higher tiers",Cloud tiers add up per seat; self-hosting needs a VPS + Postgres,Third-party booking script = consent/DPA consideration; client wants bookings under their own domain,8.3,APPROVED CANDIDATE,ADAPT,Solo studio: free cloud tier first. Client-owned booking = them owning the Cal.com account.
Custom Worker + D1 form endpoint,(build) https://developers.cloudflare.com/workers/,Our code (MIT-in-repo); Cloudflare service terms,N/A — pattern is standard and well documented,"Zero-vendor form handling: validation, rate-limit, honeypot, D1 record, webhook, email","We must build and maintain spam protection, deliverability, retries",Deliverability and bounce handling are real operational work; EU email provider needed for notifications,8.25,APPROVED CANDIDATE,BUILD (V1 default for the Master Site),90–150 LOC Worker + Turnstile; email via an EU transactional provider decided in POC-04.
Plausible Analytics,https://github.com/plausible/analytics,AGPL-3.0 (self-host); cloud is a paid EU service from €9/mo,"29.2k stars; pushed 2026-09-23; Estonian vendor, EU (Germany) hosting","Cookieless, lightweight, honest dashboards; easy client handover; EU residency story",Self-hosting needs ClickHouse + ~2GB RAM; cloud tiers price by pageviews,AGPL: fine to run unmodified; modifications must be shared if served to others,8.55,APPROVED CANDIDATE,"ADOPT (cloud, client-billed from €9/mo)",Client owns the account. Self-hosted Umami is the zero-cost alternative for studio-owned properties.
Umami,https://github.com/umami-software/umami,MIT,"39.0k stars; pushed 2026-09-22; cloud Hobby free (100k events, 3 sites)",Simplest self-hostable analytics; event-metered; tiny script,No funnels/revenue depth on entry tiers; US-operated cloud by default,Cloud jurisdiction is US unless self-hosted,8.55,APPROVED CANDIDATE,ADAPT,"Self-host on the same VPS as other studio tooling, or use Cloud Hobby for our own sites only."
Matomo (self-hosted),https://github.com/matomo-org/matomo,GPL-3.0,21.9k stars; pushed 2026-09-23; long-standing,"Reference implementation for CNIL-compliant consent-free measurement; on-prem, full data control",PHP/MySQL stack; heavier; GPL obligations if modified and distributed,Self-hosting burden; UI dated vs Plausible,7.05,PILOT / POC REQUIRED,REFERENCE,"Use as the compliance template (aggregate-only settings), not necessarily as the tool."
PostHog (EU cloud),https://github.com/PostHog/posthog,MIT core + /ee licence (confirmed); cloud paid,39.9k stars; pushed 2026-09-23; EU cloud region available,"Funnels, session replay, experiments, flags — the complete CRO instrumentation","Cookies/replay require consent; heavy for a €1,500 landing page; cost scales with events",Session replay = high-risk personal data processing; needs a documented DPIA-ish rationale,7.5,PILOT / POC REQUIRED,PILOT (only where the client funds measurement),Never enable replay without signed consent + masking rules.
GrowthBook / Bayesian low-traffic testing (method),https://www.growthbook.io/insights/when-not-to-run-test-product-leader-takeaways,Open-source (MIT) platform; article as method reference,Actively published; used by product teams,Decision filter: will the result change an action; power/MDE; when NOT to test,"Not a substitute for traffic; no magic for <1,000 visits/month",Running underpowered tests and calling them proof is a credibility risk,7.85,PILOT / POC REQUIRED,ADOPT (as method),Encoded as docs/07 + validation-experiment rules: no formal A/B under threshold.
"axe-core (+ @axe-core/cli, Playwright integration)",https://github.com/dequelabs/axe-core,MPL-2.0,7.5k stars; pushed 2026-09-22; npm 4.13.x; industry standard engine,Automated WCAG rule engine; catches ~30–40% of issues; CI-able,"Cannot judge meaning, alt-text quality, focus order, or keyboard traps properly",Automated-only testing is a *false assurance* risk — must be paired with manual gates,8.9,APPROVED CANDIDATE,ADOPT,"Runs on every PR and in the launch receipt; results attached, not 'trusted'."
Pa11y CI,https://github.com/pa11y/pa11y,LGPL-3.0,4.5k stars; pushed 2026-09-21,Simple CLI CI checks on URL lists with HTML reports,Thin wrapper value over axe; LGPL adds notice obligations,Duplicate of axe in our pipeline,7.45,PILOT / POC REQUIRED,REFERENCE,Skip; axe + Playwright covers it.
Lighthouse / Lighthouse CI,https://github.com/GoogleChrome/lighthouse,Apache-2.0,30.8k stars; pushed 2026-09-20,Lab performance/a11y/SEO scoring; budget assertions in CI; Core Web Vitals lab proxies,Lab scores ≠ field data; variance on shared CI runners,Treating a 100 score as proof of real-user performance,8.95,APPROVED CANDIDATE,ADOPT,"Budget assertion (perf ≥ 95 mobile lab, LCP ≤ 2.0s lab) as a launch gate; field data is the truth."
Playwright,https://github.com/microsoft/playwright,Apache-2.0,96.6k stars; pushed 2026-09-23; npm 1.63.x,"Cross-browser (Chromium/Firefox/WebKit) automation: forms, keyboard sweeps, visual diffs, CWV traces",Not a visual-regression suite out of the box (needs snapshot tuning),Test flakiness if over-scoped; keep the suite small,9.0,APPROVED CANDIDATE,ADOPT,"One smoke suite per project: navigation, form submit, keyboard-only path, mobile viewport."
W3C WCAG 2.2 (incl. new AA criteria),https://www.w3.org/TR/WCAG22/,W3C document licence (free to reference/implement),"W3C Recommendation; stable; 9 new SC vs 2.1, 4.1.1 removed","Authoritative source for our a11y standard: 2.4.11 focus not obscured, 2.5.7 dragging, 2.5.8 target size 24×24, 3.2.6 consistent help, 3.3.7 redundant entry, 3.3.8 accessible auth","It is a standard, not a test kit",Claiming 'WCAG compliant' without a documented audit method is a credibility/legal risk,9.25,APPROVED CANDIDATE,ADOPT,docs/06 encodes the 6 new AA-relevant criteria as build-time rules + manual checks.
web.dev / Core Web Vitals thresholds,https://web.dev/articles/vitals,Google documentation (reference),Continuously updated; CrUX baseline ~55.9% of origins pass all three (May 2026),"Field thresholds: LCP ≤2.5s, INP ≤200ms, CLS ≤0.1 at p75",No tooling by itself,None (documentation),8.75,APPROVED CANDIDATE,ADOPT,docs/07 performance budget derives hard gates from these numbers.
CNIL — consent exemption for audience measurement,https://www.cnil.fr/fr/cookies-et-autres-traceurs/regles/cookies-solutions-pour-les-outils-de-mesure-daudience,Regulatory guidance (public),Updated guidelines 2025-07-04; self-evaluation tool published,"Defines consent-free measurement: aggregate-only, first-party, no cross-site, 13-month tracker lifetime, 25-month retention, no data sharing",Applies to measurement only — anything advertising/profiling needs consent,Copying CNIL text as a client deliverable is not a licence; use it as a checklist,8.4,APPROVED CANDIDATE,ADOPT (as constraint),"docs/08 + docs/09 gate: no GA4, no pixels, no chat widget cookies without a CMP."
EU AI Act Article 50 (transparency),https://www.jonesday.com/en/insights/2026/01/european-commission-publishes-draft-code-of-practice-on-ai-labelling-and-transparency,Regulation (EU) 2024/1689 + draft labelling code,Article 50 obligations applicable from 2026-08-02; penalties up to €15m/3% turnover,Deployer duty to disclose deepfakes/AI-manipulated content at first exposure; artistic/fictional works get attenuated disclosure; human editorial responsibility matters,Not legal advice; Commission guidelines evolve; enforcement is per member state,"Shipping realistic AI imagery of people without disclosure is now a regulatory risk, not just an ethics issue",8.1,APPROVED CANDIDATE,ADOPT (as constraint + human gate),docs/08: AI asset approval record + provenance log mandatory before any AI asset ships.
EU Omnibus Directive (fake reviews ban),https://www.lexology.com/library/detail.aspx?g=929020b0-ff28-4964-a6fa-ad7f6edd2475,"Directive (EU) 2019/2161, in force since 2022-05-28",Enforced nationally; fines up to 4% of turnover or €2m,"Prohibits fake/incentivised-undisclosed reviews, deleting negative reviews, unfounded verification claims",Does not tell us how to present real testimonials,"Any fabricated testimonial is now directly illegal in the EU, not merely unethical",8.1,APPROVED CANDIDATE,ADOPT (as constraint),docs/11 + templates/case-study.md: testimonial permission + verbatim-only rule.
Loi LCEN — mentions légales (FR),https://www.economie.gouv.fr/entreprises/developper-son-entreprise/innover-et-numeriser-son-entreprise/mentions-sur-votre-site-internet-les-obligations-respecter,French statute art. 1-1/1-2 LCEN,In force; penalties reported up to €75k (physical) / €375k (legal persons),"Mandatory publisher identity, publication director, host details, contact",Does not cover GDPR obligations (separate notice required),Missing mentions légales in a client handover = client liability we created,8.1,APPROVED CANDIDATE,ADOPT (as build gate),templates + QA checklist item; client signs off on their legal entity details.
Higgsfield Terms of Use + help centre (2026-07/08 update),https://higgsfield.ai/creator-hub/help-center/account/who-owns-my-generations-and-can-i-use-them-commercially,Proprietary SaaS terms (revised Jul 2026),Terms revised July 2026 after public backlash; help-centre answers dated Aug 2026,"User keeps ownership of inputs/outputs, commercial use permitted, rights survive cancellation, client sublicensing allowed; licence to Higgsfield ends when content is deleted",Non-Enterprise accounts: inputs are still used for training by default; IP indemnification only on Enterprise; no exclusivity guarantee; outputs may resemble others',Client-confidential material must never be uploaded: the data-use policy is incompatible with NDAs despite the July 2026 fix,6.65,PILOT / POC REQUIRED,"ADAPT (concept/asset layer only, hard gates)","docs/08 + prompts/: private workspace, no client assets, provenance record; human approval before any asset ships."
OpenDesign (nexu-io/open-design),https://github.com/nexu-io/open-design,Apache-2.0 (LICENSE file confirmed),97.8k stars; HEAD commit 2026-09-23; 3.7k commits; local-first desktop app,Agent-driven prototype/landing-page generation with real file output (HTML/PDF/PPTX/MP4),"It is a design-agent harness, not a compliance or QA system; output still needs our gates",Fast-moving repo (2.5k branches): pin a commit/tag; do not treat output as production code,6.7,PILOT / POC REQUIRED,REFERENCE / PILOT for concept exploration,Use for early visual exploration only; everything it produces passes through our design + a11y gates.
VoltAgent/awesome-agent-skills (registry of skills incl. CRO/design skills),https://github.com/VoltAgent/awesome-agent-skills,Curated list; each listed skill has its own (often unclear) licence,"Actively maintained registry; 1,000+ entries","Discovery surface for community SKILL.md files (frontend-design, CRO, taste/anti-slop)",No licence normalisation: many entries have no explicit licence,Shipping or adapting unlicensed skill text into a commercial deliverable = copyright exposure,5.65,REFERENCE ONLY,REFERENCE ONLY for discovery,Anything we like gets rewritten from scratch or verified to Apache-2.0/MIT first.
Case-study / credibility practice (own framework),(build) docs/13 + templates/case-study.md,Our own content,N/A,"Labelled concept work, permissioned client work, verbatim quotes, substantiation file per claim",Not a substitute for real client outcomes,Temptation to present concepts as client work — explicit disclosure rules required,8.6,APPROVED CANDIDATE,BUILD,Disclosure line rendered by default on every concept asset; unremovable without an approval record.
