repo,full_name,license_spdx,license_name,stars,forks,open_issues,pushed_at,created_at,archived,is_fork,default_branch,homepage,topics,description
mrdoob/three.js,mrdoob/three.js,MIT,MIT License,115794,36561,380,2026-09-23,2010-03-23,False,False,dev,https://threejs.org/,3d augmented-reality canvas html5 javascript svg virtual-reality webaudio webgl webgl2 webgpu webxr,JavaScript 3D Library.
pmndrs/react-three-fiber,pmndrs/react-three-fiber,MIT,MIT License,32433,1978,72,2026-09-22,2019-02-25,False,False,master,https://docs.pmnd.rs/react-three-fiber,3d animation fiber react renderer threejs,🇨🇭 A React renderer for Three.js
airbnb/lottie-web,airbnb/lottie-web,MIT,MIT License,32121,2941,857,2025-09-01,2015-02-20,False,False,master,,,"Render After Effects animations natively on Web, Android and iOS, and React Native. http://airbnb.io/lottie/"
rive-app/rive-react,rive-app/rive-react,MIT,MIT License,1160,58,75,2026-09-16,2021-06-04,False,False,main,https://rive.app/docs/runtimes/react/react,animation react,React runtime for Rive
lucide-icons/lucide,lucide-icons/lucide,NOASSERTION,Other,24679,1592,460,2026-09-22,2020-06-08,False,False,main,https://lucide.dev,feather-icons figma icons react svg svg-icons svgs ui-components ui-design vue,Beautiful & consistent icon toolkit made by the community. Open-source project and a fork of Feather Icons.
phosphor-icons/react,phosphor-icons/react,MIT,MIT License,1760,85,20,2026-01-06,2020-07-18,False,False,master,https://phosphoricons.com,icon-font icon-pack icons react reactjs svg svg-icons,A flexible icon family for React
adobe/react-spectrum,adobe/react-spectrum,Apache-2.0,Apache License 2.0,15887,1577,570,2026-09-23,2019-09-13,False,False,main,https://react-spectrum.adobe.com,accessibility design-systems react react-components ui-components wai-aria,"A collection of libraries and tools that help you build adaptive, accessible, and robust user experiences."
magicuidesign/magicui,magicuidesign/magicui,MIT,MIT License,22367,1136,1,2026-09-20,2023-06-26,False,False,main,https://magicui.design,components framer-motion nextjs react shadcn-ui tailwindcss typescript,UI Library for Design Engineers. Animated components and effects you can copy and paste into your apps. Free. Open Source.
formbricks/formbricks,formbricks/formbricks,NOASSERTION,Other,13005,2533,194,2026-09-23,2022-06-06,False,False,main,https://formbricks.com,experience-management form forms nextjs open-source react reactjs survey survey-analysis survey-data survey-form surveys tailwindcss turborepo typeform typescript xm,Open Source Qualtrics Alternative
resend/resend-node,resend/resend-node,MIT,MIT License,956,89,18,2026-09-22,2022-07-31,False,False,canary,,,Resend's Official Node.js SDK
plausible/analytics,plausible/analytics,AGPL-3.0,GNU Affero General Public License v3.0,29194,1874,63,2026-09-23,2018-12-04,False,False,master,https://plausible.io,analytics analytics-dashboard clickhouse elixir google-analytics marketing open-source-analytics phoenix plausible-analytics postgresql privacy privacy-friendly self-hosted simple-analytics statistics tailwindcss web-analytics website-analytics website-stats website-tracking,"Open source, privacy-first web analytics. Lightweight, cookie-free Google Analytics alternative. Self-hosted or cloud."
umami-software/umami,umami-software/umami,MIT,MIT License,38969,8100,114,2026-09-22,2020-07-17,False,False,master,https://umami.is,analytics audience-segmentation charts cohort-analysis google-analytics product-analytics statistics user-journey web-analytics,"Umami is a privacy-first analytics platform. Traffic, campaigns, behavior, conversions, and revenue in one place — no cookies, no surveillance, self-hosted or in the cloud."
PostHog/posthog,PostHog/posthog,NOASSERTION,Other,39906,3410,5619,2026-09-23,2020-01-23,False,False,master,https://posthog.com,ab-testing ai-analytics analytics cdp data-warehouse experiments feature-flags javascript product-analytics python react session-replay surveys typescript web-analytics,":hedgehog: PostHog is the leading platform for building self-driving products. Our developer tools – AI observability, analytics, session replay, flags, experiments, error tracking, logs, and more – capture all the context agents need to diagnose problems, uncover opportunities, and ship fixes. Steer it all from Slack, web, desktop, or the MCP."
matomo-org/matomo,matomo-org/matomo,GPL-3.0,GNU General Public License v3.0,21894,2894,2569,2026-09-23,2011-03-30,False,False,6.x-dev,https://matomo.org/,analytics growth hacktoberfest intranet log marketing matomo mobile mysql php piwik privacy security web-analytics website,"Empowering People Ethically 🚀 — Matomo is hiring! Join us → https://matomo.org/jobs Matomo is the leading open-source alternative to Google Analytics, giving you complete control and built-in privacy. Easily collect, visualise, and analyse data from websites & apps. Star us on GitHub ⭐️  – Pull Requests welcome! "
calcom/cal.com,calcom/cal.diy,MIT,MIT License,48625,15195,1428,2026-09-20,2021-03-22,False,False,main,https://cal.diy,next-auth nextjs open-source postgresql prisma t3-stack tailwindcss trpc turborepo typescript zod,Scheduling infrastructure for absolutely everyone.
Thinkmill/keystatic,Thinkmill/keystatic,MIT,MIT License,2407,160,186,2026-09-08,2023-02-09,False,False,main,https://keystatic.com,cms content-management-system javascript json markdoc markdown static-content typescript yaml,"First class CMS experience, TypeScript API, Markdown & YAML/JSON based, no DB"
payloadcms/payload,payloadcms/payload,MIT,MIT License,44903,4201,1166,2026-09-23,2021-01-05,False,False,main,https://payloadcms.com,cms content-management content-management-system express graphql headless headless-cms jamstack javascript mit-license mongodb nextjs nodejs open-source payload payloadcms postgres react typescript,"Payload is the open-source, fullstack Next.js framework, giving you instant backend superpowers. Get a full TypeScript backend and admin panel instantly. Use Payload as a headless CMS or for building powerful applications."
decaporg/decap-cms,decaporg/decap-cms,MIT,MIT License,19397,3132,592,2026-09-22,2015-01-20,False,False,main,https://decapcms.org,cms content-management-system decap-cms git-based-cms headless-cms jamstack javascript netlify-cms npm-package react static static-site static-site-generator,A Git-based CMS for Static Site Generators
dequelabs/axe-core,dequelabs/axe-core,MPL-2.0,Mozilla Public License 2.0,7549,939,442,2026-09-22,2015-06-10,False,False,develop,https://www.deque.com/axe/,a11y accessibility axe,Accessibility engine for automated Web UI testing
pa11y/pa11y,pa11y/pa11y,LGPL-3.0,GNU Lesser General Public License v3.0,4537,301,44,2026-09-21,2013-03-05,False,False,main,https://pa11y.org,a11y accessibility accessibility-testing automated-testing axe html-codesniffer javascript pa11y testing,Pa11y is your automated accessibility testing pal
GoogleChrome/lighthouse,GoogleChrome/lighthouse,Apache-2.0,Apache License 2.0,30800,9758,464,2026-09-20,2016-03-08,False,False,main,https://developer.chrome.com/docs/lighthouse/overview/,audit best-practices chrome-devtools developer-tools performance-analysis performance-metrics pwa web,"Automated auditing, performance metrics, and best practices for the web."
microsoft/playwright,microsoft/playwright,Apache-2.0,Apache License 2.0,96558,6489,199,2026-09-23,2019-11-15,False,False,main,https://playwright.dev,automation chrome chromium e2e-testing electron end-to-end-testing firefox javascript playwright test test-automation testing testing-tools web webkit,"Playwright is a framework for Web Testing and Automation. It allows testing Chromium, Firefox and WebKit with a single API. "
amzn/style-dictionary,style-dictionary/style-dictionary,Apache-2.0,Apache License 2.0,4824,629,236,2026-09-20,2016-11-29,False,False,main,https://styledictionary.com,build-system build-tool cross-platform design-systems design-tokens design-tools style style-tokens styleguide,A build system for creating cross-platform styles.
uswds/uswds,uswds/uswds,NOASSERTION,Other,7200,1118,180,2026-09-23,2015-05-20,False,False,develop,https://designsystem.digital.gov,design design-systems government uswds,"The U.S. Web Design System helps the federal government build fast, accessible, mobile-friendly websites."
alphagov/govuk-frontend,alphagov/govuk-frontend,MIT,MIT License,1457,375,443,2026-09-23,2016-09-14,False,False,main,https://frontend.design-system.service.gov.uk/,govuk-design-system govuk-design-system-team govuk-frontend,GOV.UK Frontend contains the code you need to start building a user interface for government platforms and services.
carbon-design-system/carbon,carbon-design-system/carbon,Apache-2.0,Apache License 2.0,9481,2278,1096,2026-09-23,2017-03-13,False,False,main,https://www.carbondesignsystem.com,design-system hacktoberfest javascript react scss,A design system built by IBM
